generator,model,split,target,MAE,RMSE,R2
gen1,mean,validation,load_MW,0.6122395833333321,0.6954703414008593,-2.754280109827909
gen1,mean,validation,exergy_efficiency,0.008099566286321412,0.010048383742883244,-0.08080907189914766
gen1,mean,test,load_MW,7.122433035714288,7.124906644663706,-1439.4345653642938
gen1,mean,test,exergy_efficiency,0.14364340028411315,0.14370370624383152,-1190.7053158855674
gen1,ridge,validation,load_MW,0.38600531981298575,0.4869551397564915,-0.84054886744684
gen1,ridge,validation,exergy_efficiency,0.00808992061137774,0.01002435406992897,-0.07564596604651652
gen1,ridge,test,load_MW,6.126909751913012,6.161763464564442,-1076.3212425154159
gen1,ridge,test,exergy_efficiency,0.1183900558760645,0.11907745127918554,-817.2612770816158
gen1,random_forest,validation,load_MW,0.29700107591311536,0.3566194763649485,0.012858158829553656
gen1,random_forest,validation,exergy_efficiency,0.008847108517748852,0.011195233548487433,-0.34159945428320126
gen1,random_forest,test,load_MW,8.42040122324765,8.426432399285432,-2013.7569372459598
gen1,random_forest,test,exergy_efficiency,0.16230042045257403,0.1624203316588303,-1521.347240550669
gen1,ann,validation,load_MW,0.37589476497141333,0.4539451477816579,-0.5994703764352467
gen1,ann,validation,exergy_efficiency,0.006511270996018456,0.008122402027261513,0.2938035662609547
gen1,ann,test,load_MW,9.277737359013283,9.349573786070202,-2479.3833335229015
gen1,ann,test,exergy_efficiency,0.1699574465675267,0.17048718928608056,-1676.3219879762007
gen2,mean,validation,load_MW,0.44313210848643925,0.536058830981914,-0.9275373778940412
gen2,mean,validation,exergy_efficiency,0.011647600964596291,0.021233805800421363,-0.0055933388551761
gen2,mean,test,load_MW,6.994544431946006,7.095171451974636,-34.506588055890866
gen2,mean,test,exergy_efficiency,0.13936007101972928,0.14133051217662118,-35.11441236955629
gen2,ridge,validation,load_MW,0.5171344864846611,1.0923101640164712,-7.003313851928411
gen2,ridge,validation,exergy_efficiency,0.010213875071988978,0.01961901286504904,0.14153813070747367
gen2,ridge,test,load_MW,5.885474789287764,6.035419780799397,-24.692012013282493
gen2,ridge,test,exergy_efficiency,0.11471064348709849,0.1176921684120757,-24.044006979542253
gen2,random_forest,validation,load_MW,0.5065785749058915,0.8275003003360168,-3.5931879702242187
gen2,random_forest,validation,exergy_efficiency,0.012147696290181146,0.02388685083085783,-0.272578262746783
gen2,random_forest,test,load_MW,7.6304448188716,7.743340011754414,-41.29020709409057
gen2,random_forest,test,exergy_efficiency,0.15019223548261382,0.1522340831216342,-40.901780628062326
gen2,ann,validation,load_MW,0.4341616338539267,0.5220502608783014,-0.8281108777123816
gen2,ann,validation,exergy_efficiency,0.012034937718437784,0.020858263290935302,0.02966209669229769
gen2,ann,test,load_MW,10.038221691501969,10.169174137056258,-71.93811261807078
gen2,ann,test,exergy_efficiency,0.13837544754298528,0.1403189569027909,-34.59929375668267
gen3,mean,validation,load_MW,0.6320312500000003,1.1645234976895091,-0.31547772247334005
gen3,mean,validation,exergy_efficiency,0.011009695451010548,0.02067072034681259,-0.0179041742687569
gen3,mean,test,load_MW,7.251674107142857,7.254624971606397,-1228.4872898470078
gen3,mean,test,exergy_efficiency,0.143475501635306,0.14358303649147716,-666.86170166423
gen3,ridge,validation,load_MW,0.6339457549217785,1.0524932015534139,-0.07454741558638056
gen3,ridge,validation,exergy_efficiency,0.012731886952681851,0.02104263902621883,-0.05486305670504499
gen3,ridge,test,load_MW,5.59979036331216,5.617740553882008,-736.2545590492466
gen3,ridge,test,exergy_efficiency,0.10910073606107182,0.10948920493649945,-387.34961311648107
gen3,random_forest,validation,load_MW,0.6623503484170181,1.0678867188400087,-0.10620942925855226
gen3,random_forest,validation,exergy_efficiency,0.013660899765605857,0.021782757146580442,-0.1303719489294246
gen3,random_forest,test,load_MW,6.93583242686544,6.941445670627648,-1124.6256171229982
gen3,random_forest,test,exergy_efficiency,0.13844160542963618,0.13857321494274724,-621.0694281651662
gen3,ann,validation,load_MW,0.666999585283599,1.0397169215714142,-0.04861776258038697
gen3,ann,validation,exergy_efficiency,0.011695639757063005,0.020471462855242747,0.0016256198427497814
gen3,ann,test,load_MW,7.088593814377519,7.100761552983829,-1176.8879222809683
gen3,ann,test,exergy_efficiency,0.13987663989025437,0.1400835107226842,-634.7030678198375
